jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_jap_main_001,0.358015691,0.489248344,0.338013775,0.260658483,0.265889376,0.218420391,0.047811871,0.047723716,0.047619311,0.587180296,0.865020156,0.865020156,0.921052733
p22_jap_main_002,0.347632328,0.4732759,0.300943325,0.291812441,0.251337143,0.192192967,0.047799423,0.047816169,0.047624034,0.535310049,0.860491753,0.860491753,0.877769932
p22_jap_main_003,0.3524217,0.474682588,0.320680757,0.296358286,0.2542245,0.212155663,0.047695047,0.04815012,0.047625656,0.574746274,0.86961503,0.86961503,0.878051795
p22_jap_main_004,0.345030488,0.4947946,0.329143106,0.274490408,0.262948914,0.220791415,0.047965807,0.048635013,0.04762646,0.560042627,0.892273278,0.892273278,
p22_jap_main_005,0.331802129,0.495519781,0.322057382,0.279600294,0.275217862,0.307066116,0.048345135,0.052621787,0.047775572,0.593086035,0.940424211,0.940424211,
p22_jap_main_006,0.35441247,0.49599571,0.310769237,0.285153679,0.281788808,0.310728155,0.048254329,0.053629688,0.047754157,0.608091089,0.940215744,0.940215744,
p22_jap_main_007,0.312117544,0.504006634,0.318187186,0.286372044,0.267102993,0.26979252,0.047759049,0.049280838,0.047631447,0.579460741,0.909607233,0.909607233,
p22_jap_main_008,0.337851384,0.494447338,0.309497447,0.284110673,0.267965548,0.277071197,0.047902057,0.052325247,0.04765046,0.56278236,0.92936065,0.92936065,
p22_jap_main_009,0.306116955,0.510380045,0.332615895,0.275718287,0.272804743,0.280268043,0.047768337,0.050066464,0.047713713,0.581499754,0.925826628,0.925826628,
p22_jap_main_010,0.347592981,0.50004677,0.317525857,0.297559353,0.274375702,0.338900755,0.048176387,0.054637337,0.047807089,0.636099576,0.949185143,0.949185143,
p22_jap_main_011,0.335337058,0.50174308,0.323901077,0.296198256,0.282323182,0.304539478,0.047931226,0.049837654,0.047719862,0.628261101,0.934268844,0.934268844,
p22_jap_main_012,0.348144877,0.510220933,0.316556361,0.306303182,0.276475673,0.323157149,0.048186781,0.055013344,0.047710859,0.640566385,0.944393393,0.944393393,
p22_jap_main_013,0.341725921,0.487998609,0.338653879,0.256157661,0.263576561,0.222661881,0.047807747,0.047854766,0.047640489,0.573742088,0.869869613,0.869869613,
p22_jap_main_014,0.324476986,0.500562559,0.333698948,0.272615818,0.262943104,0.285186828,0.047722982,0.049505866,0.047621779,0.598621511,0.90542014,0.90542014,
p22_jap_main_015,0.326043971,0.503695463,0.32761187,0.314779811,0.285079976,0.300234519,0.048197374,0.053785565,0.047752653,0.635273485,0.94205991,0.94205991,
p22_jap_main_016,0.329919406,0.507281623,0.333119109,0.269228339,0.275472419,0.283871824,0.047747861,0.049660231,0.047628089,0.601894784,0.918455028,0.918455028,
p22_jap_main_017,0.32468076,0.508455542,0.324706915,0.302256157,0.288389095,0.304650142,0.048001472,0.052033756,0.048040117,0.627116241,0.944037957,0.944037957,
p22_jap_main_018,0.301088024,0.50744739,0.294411667,0.31210575,0.281073003,0.338121449,0.048062617,0.050753759,0.047661945,0.626860697,0.940334903,0.940334903,
p22_jap_main_019,0.292028539,0.50351367,0.32997895,0.281103592,0.278479368,0.285937017,0.04774118,0.050589802,0.047631197,0.587210873,0.924319314,0.924319314,
p22_jap_main_020,0.303265974,0.504170846,0.337423118,0.276495288,0.276121346,0.291668882,0.047849423,0.05147221,0.047621522,0.596750199,0.926789635,0.926789635,
p22_jap_main_021,0.283878426,0.508159856,0.3183708,0.276377473,0.281065193,0.295650673,0.047738031,0.051102408,0.047647891,0.572906996,0.93180301,0.93180301,
p22_jap_main_022,0.307575589,0.505515948,0.29140215,0.321708121,0.288742311,0.340740749,0.047827254,0.051044278,0.047647616,0.650016083,0.937651339,0.937651339,
p22_jap_main_023,0.293886903,0.492190386,0.341175105,0.307930524,0.268716874,0.243109863,0.04781954,0.048033583,0.04763117,0.595413562,0.900384975,0.900384975,
p22_jap_main_024,0.291848442,0.504557345,0.347428088,0.299245701,0.27607176,0.313856964,0.047864137,0.051098296,0.047646517,0.643867481,0.92884938,0.92884938,
p22_jap_main_025,0.288869501,0.498393442,0.344574102,0.316847385,0.268725933,0.281809068,0.047959478,0.050610624,0.047774294,0.613164356,0.928879523,0.928879523,
p22_jap_main_026,0.290278151,0.507379468,0.318789381,0.303305948,0.280443847,0.310261428,0.048115698,0.05265877,0.04777463,0.601797546,0.944019724,0.944019724,
p22_jap_main_027,0.28524485,0.509073379,0.329322078,0.324437744,0.270042632,0.312879804,0.047913732,0.051374481,0.047642632,0.643505645,0.927049576,0.927049576,
p22_jap_main_028,0.308678845,0.509431973,0.303395123,0.321367998,0.292606234,0.327238069,0.048119584,0.05208754,0.047652488,0.659598447,0.93058462,0.93058462,
p22_jap_main_029,0.294045146,0.50868144,0.352352699,0.30049674,0.272529558,0.279415033,0.047705188,0.049425507,0.047629371,0.626050589,0.918880197,0.918880197,
p22_jap_main_030,0.331111457,0.511334915,0.308822716,0.31087651,0.287925498,0.347111687,0.048053872,0.051906309,0.048135077,0.659998384,0.951511091,0.951511091,
p22_jap_post_001,0.30006071,0.477379401,0.358772726,0.294999478,0.255191803,0.227204697,0.047832049,0.047855873,0.047648523,0.583996759,0.884753043,0.884753043,
p22_jap_post_002,0.296040719,0.501541244,0.31844807,0.291272555,0.260028436,0.234429789,0.047664834,0.047788449,0.047620335,0.574904407,0.873368168,0.873368168,
p22_jap_post_003,0.334973985,0.511189853,0.302303049,0.269025307,0.281760188,0.309813187,0.04772517,0.050471653,0.047625624,0.603918757,0.922553696,0.922553696,
p22_jap_post_004,0.335626047,0.495383905,0.300648857,0.261877545,0.273986437,0.251735426,0.047792894,0.047872406,0.047619764,0.546557115,0.901186461,0.901186461,
p22_jap_post_005,0.3207773,0.503145498,0.308091207,0.269844545,0.271601951,0.25519825,0.047706376,0.047924376,0.047619754,0.558418115,0.900980564,0.900980564,
p22_jap_post_006,0.285491869,0.507747963,0.320431162,0.28498459,0.270605884,0.241817711,0.047660396,0.047842824,0.047620746,0.570580104,0.886904213,0.886904213,
p22_jap_post_007,0.311273451,0.507598727,0.311488116,0.313706545,0.270408079,0.338857471,0.047933992,0.051117897,0.047643876,0.657429479,0.924993273,0.924993273,
p22_jap_post_008,0.328626837,0.490056207,0.313807289,0.274194774,0.266005445,0.264940829,0.047756377,0.047896472,0.047622087,0.629088238,0.848280253,0.848280253,
p22_jap_post_009,0.293680091,0.49196666,0.257297092,0.264179046,0.264395484,0.256795549,0.047717919,0.048950924,0.047619525,0.519066127,0.862522777,0.862522777,
p22_jap_post_010,0.294826703,0.48258089,0.241130571,0.267450781,0.249023106,0.200987375,0.047726259,0.047699114,0.047619108,0.527570032,0.772156871,0.772156871,
p22_jap_pre_001,0.326272852,0.481158941,0.342015378,0.267255108,0.251504466,0.311678977,0.047826032,0.047785316,0.04769326,0.601781713,0.918505496,0.918505496,
p22_jap_pre_002,0.327707338,0.469695335,0.328919738,0.269149768,0.254382471,0.308336965,0.048004572,0.04912414,0.047639587,0.589748613,0.911036878,0.911036878,
p22_jap_pre_003,0.336363403,0.481278029,0.325275799,0.262485667,0.246552381,0.313425389,0.047843966,0.048545749,0.047650876,0.607897907,0.892628394,0.892628394,
p22_jap_pre_004,0.314053917,0.477556443,0.334810443,0.251799089,0.235489022,0.322213485,0.047933958,0.047791599,0.047658753,0.598657761,0.885779791,0.885779791,
p22_jap_pre_005,0.3430083,0.47802086,0.339279093,0.268466358,0.248940829,0.258258742,0.048148635,0.049572626,0.047646553,0.56993566,0.896192888,0.896192888,
p22_jap_pre_006,0.343357668,0.402558958,0.303113288,0.252773264,0.232437929,0.290091112,0.047941096,0.048758875,0.04772196,0.527430156,0.866415521,0.866415521,
p22_jap_pre_007,0.334327465,0.429091708,0.310269144,0.247588156,0.219136048,0.309735407,0.047957227,0.04782835,0.047720786,0.548402557,0.863200556,0.863200556,
p22_jap_pre_008,0.274888833,0.377329663,0.319915193,0.263379104,0.190668396,0.28576716,0.048139795,0.047832295,0.047636039,0.502815701,0.821006239,0.821006239,
p22_jap_pre_009,0.292467577,0.388851678,0.312542692,0.240243097,0.205330764,0.296374253,0.048073748,0.047774758,0.047633932,0.474361911,0.86172956,0.86172956,
p22_jap_pre_010,0.303728309,0.41828145,0.317034885,0.240741099,0.201583534,0.314744665,0.047984445,0.047731938,0.047663446,0.511856498,0.864022632,0.864022632,
AVG,0.317853517,0.48789238,0.319614438,0.283141756,0.263589836,0.284237923,0.047904247,0.049858015,0.047679253,0.590106657,0.903795985,0.903795985,
