hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_hook_left_main_001,0.323005017,0.478617044,0.276573213,0.246017356,0.324815175,0.246831521,0.052927612,0.048704814,0.047633737,0.580892446,0.851739206,0.770485178,0.750250166
p22_hook_left_main_002,0.287662466,0.444229944,0.271847713,0.238785433,0.311268981,0.221403922,0.051480797,0.047997095,0.047630643,0.503419055,0.842970154,0.741104824,0.744291144
p22_hook_left_main_003,0.125448948,0.295326914,0.114079038,0.099020037,0.167951729,0.103231098,0.052313725,0.048144747,0.047619051,0.615912936,0.012699025,0.193663198,0.739171859
p22_hook_left_main_004,0.274955542,0.46070446,0.251215271,0.192899138,0.330666902,0.26875011,0.049501975,0.048054095,0.047642871,0.50579217,0.848774477,0.745879785,
p22_hook_left_main_005,0.279043148,0.451611847,0.272016945,0.196397977,0.313053929,0.279877092,0.04972379,0.047963275,0.047635962,0.536353191,0.833388752,0.744278083,
p22_hook_left_main_006,0.288578918,0.478990257,0.272554617,0.217723779,0.329849585,0.301957329,0.051268391,0.050227617,0.047711526,0.570885024,0.872998301,0.782364318,
p22_hook_left_main_007,0.276530358,0.464730087,0.254970532,0.23620905,0.326841049,0.248966457,0.051406792,0.048638624,0.047626101,0.559000181,0.819484659,0.741339315,
p22_hook_left_main_008,0.290998075,0.457925527,0.25988484,0.194710284,0.331777984,0.293947508,0.050090514,0.048250805,0.047659639,0.532646862,0.863236254,0.764059436,
p22_hook_left_main_009,0.279361857,0.453415016,0.2463793,0.189126483,0.334529376,0.289701567,0.050352439,0.048584891,0.047668454,0.504100334,0.863795541,0.755886979,
p22_hook_left_main_010,0.287221259,0.465587761,0.255876389,0.178269716,0.325188163,0.300594638,0.050503621,0.048645224,0.047671958,0.507735442,0.869628725,0.76106074,
p22_hook_left_main_011,0.279862848,0.462133489,0.272515687,0.171878956,0.334499016,0.281923322,0.050151802,0.048356839,0.047664009,0.526794189,0.844578962,0.74924353,
p22_hook_left_main_012,0.287740928,0.467008846,0.256079655,0.16462754,0.341063014,0.304779873,0.05012834,0.04839095,0.047683987,0.53027549,0.853698384,0.756671516,
p22_hook_left_main_013,0.298225945,0.469207355,0.26263939,0.175726584,0.345407084,0.294595401,0.050343481,0.048847244,0.047698774,0.531707878,0.870229513,0.768673022,
p22_hook_left_main_014,0.292106738,0.464250231,0.270757901,0.184298071,0.329820121,0.314949951,0.050856081,0.048920595,0.047714747,0.542038063,0.876492353,0.776156066,
p22_hook_left_main_015,0.301461229,0.481090235,0.274996589,0.266629628,0.313373407,0.258239955,0.053313207,0.050730747,0.047666828,0.56267787,0.877342908,0.782943397,
p22_hook_left_main_016,0.297378599,0.463398325,0.279249012,0.247711782,0.328157662,0.318959091,0.050266552,0.048736872,0.047689075,0.609602375,0.884593422,0.802096108,
p22_hook_left_main_017,0.323228311,0.466501871,0.278671109,0.268304294,0.349349513,0.301737247,0.052597501,0.050990553,0.04766863,0.629985099,0.898634405,0.818039613,
p22_hook_left_main_018,0.296702603,0.468749363,0.243979333,0.248006057,0.326993504,0.319214186,0.050418754,0.048538653,0.047682248,0.589333994,0.873641016,0.78834891,
p22_hook_left_main_019,0.303977585,0.484508183,0.239778806,0.235697556,0.327478987,0.307623483,0.05210572,0.049087381,0.047621892,0.5699901,0.872437611,0.781703357,
p22_hook_left_main_020,0.308591809,0.480082207,0.255321509,0.263566885,0.315272375,0.232686914,0.052880856,0.048701655,0.047621496,0.549965206,0.848735456,0.759104381,
p22_hook_left_main_021,0.28623002,0.470059108,0.24562009,0.20734651,0.332498434,0.306609605,0.051319371,0.048336473,0.047647981,0.530086319,0.880396511,0.775303454,
p22_hook_left_main_022,0.321278059,0.483253173,0.234583853,0.237800396,0.329697722,0.256988558,0.05178899,0.047765731,0.047621172,0.534208365,0.869037807,0.768588975,
p22_hook_left_main_023,0.292424628,0.471646343,0.254647451,0.268507817,0.322646097,0.295727983,0.051224045,0.049187943,0.047708393,0.575978418,0.886499878,0.79334344,
p22_hook_left_main_024,0.295590086,0.471957456,0.258876549,0.270127159,0.345377129,0.290046284,0.050036497,0.048535846,0.047644515,0.610982703,0.879078434,0.798649715,
p22_hook_left_main_025,0.316326371,0.479715489,0.249851279,0.249556851,0.335526189,0.258477922,0.052136276,0.049358506,0.04762759,0.565534051,0.866212047,0.776008648,
p22_hook_left_main_026,0.342693111,0.440989648,0.259823495,0.250465848,0.316169032,0.257683156,0.052201151,0.047921181,0.04762417,0.556049936,0.857391955,0.766989349,
p22_hook_left_main_027,0.309027725,0.482545866,0.273859312,0.243587697,0.326190104,0.257439093,0.051794306,0.048513886,0.047626026,0.557709701,0.87796709,0.781889873,
p22_hook_left_main_028,0.256993339,0.45619187,0.256594755,0.26791508,0.255808469,0.228399668,0.051198752,0.047887912,0.047623206,0.545061909,0.765145524,0.69912044,
p22_hook_left_main_029,0.290389741,0.488236002,0.299305691,0.268622297,0.338447734,0.247932822,0.051967386,0.048095813,0.04763113,0.614854348,0.871015169,0.794166922,
p22_hook_left_main_030,0.308401088,0.487579045,0.288027876,0.269178582,0.337842741,0.227127421,0.053903671,0.051023827,0.04761956,0.625323284,0.832493466,0.770342411,
p22_hook_left_post_001,0.196965835,0.390612065,0.145305478,0.189632619,0.204645973,0.130278508,0.052546901,0.048280131,0.047625836,0.584071731,0.332646179,0.408073845,
p22_hook_left_post_002,0.342529827,0.475773269,0.269726274,0.25919829,0.333257677,0.242994875,0.053176131,0.050524095,0.047667736,0.571125744,0.880141111,0.787436501,
p22_hook_left_post_003,0.297709304,0.486077712,0.306161214,0.240266355,0.32978095,0.24786225,0.054521525,0.049689888,0.047622619,0.566811522,0.880698412,0.786532345,
p22_hook_left_post_004,0.28612865,0.464937034,0.29870882,0.302776116,0.336142106,0.329808954,0.051194924,0.049272645,0.047704358,0.685397595,0.893872655,0.831330137,
p22_hook_left_post_005,0.267337093,0.463987512,0.286832266,0.260039259,0.309885808,0.289762397,0.051502724,0.048818147,0.047637906,0.564432769,0.883446444,0.787742341,
p22_hook_left_post_006,0.267438864,0.450346727,0.27066169,0.281442855,0.327354957,0.260027512,0.051389379,0.04872247,0.04762761,0.554420801,0.881821383,0.783601208,
p22_hook_left_post_007,0.25073165,0.469479949,0.290783121,0.288701479,0.322678287,0.239565591,0.051833346,0.049027118,0.047790251,0.612327781,0.827309603,0.762815057,
p22_hook_left_post_008,0.262257133,0.440431737,0.244435099,0.273146648,0.329618285,0.302397677,0.050043819,0.048236696,0.047648648,0.583019324,0.855544492,0.773786942,
p22_hook_left_post_009,0.276006224,0.45116146,0.272294679,0.264443096,0.302484809,0.260091339,0.051436423,0.048085363,0.047625009,0.554975982,0.840829048,0.755073128,
p22_hook_left_post_010,0.25534743,0.461450675,0.30310668,0.262538307,0.310823446,0.254401322,0.051075523,0.048662797,0.047712965,0.588918876,0.842634679,0.766519938,
p22_hook_left_pre_001,0.245983611,0.449782582,0.307317598,0.236336311,0.233467663,0.179191768,0.051343322,0.047917182,0.047619906,0.55314611,0.697260667,0.6540263,
p22_hook_left_pre_002,0.254692,0.429983364,0.242856348,0.182112093,0.314181852,0.264661396,0.049399333,0.048033399,0.047633404,0.467604711,0.818756659,0.713411075,
p22_hook_left_pre_003,0.27639635,0.464958335,0.259929696,0.189128476,0.319712744,0.270197333,0.050526632,0.048146981,0.047639612,0.492747359,0.859115504,0.749205061,
p22_hook_left_pre_004,0.289302086,0.466197898,0.265270164,0.228621856,0.333588285,0.245883918,0.051376643,0.048356573,0.047625559,0.522821751,0.868178915,0.764571766,
p22_hook_left_pre_005,0.301525774,0.433403171,0.266886807,0.187201347,0.334022637,0.26702223,0.049924438,0.04810935,0.047650373,0.531797339,0.834466517,0.743665764,
p22_hook_left_pre_006,0.268829781,0.455427106,0.279437987,0.195909992,0.333553736,0.270440348,0.050344962,0.048249622,0.047632334,0.561050754,0.822505348,0.74406897,
p22_hook_left_pre_007,0.263658463,0.454853774,0.258334712,0.198575757,0.327592855,0.272532355,0.049963752,0.048319653,0.047646526,0.506667468,0.850977999,0.74768484,
p22_hook_left_pre_008,0.295876272,0.448216231,0.276433108,0.250269115,0.319441682,0.230232975,0.051844349,0.04825454,0.047625774,0.55248678,0.834285709,0.74974603,
p22_hook_left_pre_009,0.256792517,0.453857516,0.273193852,0.202611753,0.335333734,0.280055819,0.049865188,0.048233518,0.047649403,0.535618145,0.852337887,0.757321964,
p22_hook_left_pre_010,0.276473675,0.471036652,0.29789328,0.259723637,0.325179794,0.23679063,0.052014917,0.04900989,0.047625397,0.581753376,0.847844017,0.768016825,
AVG,0.283068378,0.459444355,0.262922921,0.230027804,0.31860617,0.263812048,0.051310533,0.048701797,0.047651932,0.558921857,0.827380205,0.7468427,
