straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_straight_main_001,0.209049793,0.372734327,0.218812927,0.239127532,0.236673441,0.203878892,0.0489561,0.047760476,0.047626448,0.535244242,0.600845125,0.58116486,0.628791521
p22_straight_main_002,0.256099881,0.475637976,0.2558129,0.264675414,0.321799751,0.238124169,0.053798665,0.048007409,0.048658983,0.475280904,0.905866364,0.776690726,0.700372079
p22_straight_main_003,0.219286829,0.406947635,0.209682889,0.224158239,0.249575893,0.229783828,0.049064024,0.047728752,0.047628959,0.452543012,0.71850234,0.638714542,0.663144435
p22_straight_main_004,0.196306918,0.34524619,0.174557817,0.237956612,0.190122112,0.202217001,0.048394398,0.04770658,0.047622895,0.401949048,0.618756764,0.553714449,
p22_straight_main_005,0.185232517,0.376201312,0.188779994,0.236186025,0.229685302,0.222478272,0.048413824,0.047717453,0.047643117,0.427610409,0.673938869,0.600040331,
p22_straight_main_006,0.251133294,0.47747254,0.24311977,0.235631364,0.334914627,0.230982205,0.049267997,0.0570047,0.051516521,0.489064006,0.849697444,0.741507413,
p22_straight_main_007,0.130415194,0.339068241,0.186049256,0.245715061,0.168998916,0.188159946,0.048420336,0.047720986,0.047620227,0.417273111,0.543160493,0.505394278,
p22_straight_main_008,0.246957167,0.466520614,0.245513157,0.239434439,0.307353074,0.215034756,0.04854463,0.051527149,0.0483588,0.52988928,0.776308024,0.702382401,
p22_straight_main_009,0.206573076,0.413305539,0.237368337,0.246729587,0.208360489,0.207509473,0.048309782,0.047694374,0.048197628,0.411717356,0.748273813,0.647306876,
p22_straight_main_010,0.192882167,0.34517091,0.164533467,0.236094858,0.188902678,0.202058535,0.048357934,0.047727997,0.047623114,0.382597528,0.624292287,0.551783859,
p22_straight_main_011,0.232451511,0.42596714,0.229675842,0.244234478,0.253562332,0.249999408,0.04852534,0.047782688,0.04763394,0.458260465,0.792173644,0.69199969,
p22_straight_main_012,0.262173188,0.484149117,0.231671011,0.249214668,0.324584072,0.235638907,0.049277067,0.055541169,0.048955497,0.513100082,0.837436744,0.740135745,
p22_straight_main_013,0.241663361,0.483839084,0.269340518,0.26449648,0.330955452,0.23840416,0.049227155,0.055110415,0.051762011,0.543447355,0.852719403,0.759937789,
p22_straight_main_014,0.119073911,0.327928651,0.165860135,0.218811556,0.178257282,0.172273408,0.048453517,0.047704343,0.047619544,0.440621147,0.455989546,0.451379026,
p22_straight_main_015,0.213712756,0.391460136,0.194955117,0.226675629,0.217215074,0.223657577,0.048842259,0.047728336,0.047632549,0.400794704,0.710646352,0.617690858,
p22_straight_main_016,0.155523603,0.333984608,0.17123476,0.241585718,0.168045726,0.189455199,0.048453411,0.04771661,0.047630343,0.403278491,0.551992225,0.507378105,
p22_straight_main_017,0.200810853,0.382093,0.182313052,0.226152913,0.236224087,0.228974182,0.048640314,0.047717255,0.047626954,0.43755496,0.674847435,0.603659693,
p22_straight_main_018,0.164192929,0.350132268,0.170039049,0.228861561,0.203626028,0.208499395,0.048523546,0.047724727,0.047625964,0.433804822,0.577416741,0.534333165,
p22_straight_main_019,0.253650973,0.457419767,0.250405321,0.243492803,0.346570063,0.231066477,0.049388693,0.056776037,0.050747954,0.512656475,0.846864384,0.746602011,
p22_straight_main_020,0.211740759,0.392201483,0.199148006,0.230848533,0.255442331,0.224586415,0.048663222,0.047742159,0.047636035,0.448977007,0.710158019,0.631803716,
p22_straight_main_021,0.177304998,0.361938676,0.195471247,0.234558879,0.202419079,0.212267697,0.048470978,0.04774795,0.047622975,0.401062961,0.656895023,0.580145405,
p22_straight_main_022,0.178527132,0.373529163,0.200117174,0.244161858,0.193577702,0.228208327,0.048412357,0.04771496,0.04762394,0.413339989,0.673960459,0.595774318,
p22_straight_main_023,0.23743174,0.475418817,0.236853239,0.24502895,0.317030478,0.224311992,0.048595724,0.04827231,0.048681275,0.488974292,0.833638528,0.730239257,
p22_straight_main_024,0.244963652,0.472614643,0.242819388,0.253644619,0.327276773,0.23303965,0.049417567,0.055532064,0.048702528,0.506674932,0.84550098,0.743853166,
p22_straight_main_025,0.217078637,0.454852257,0.205736195,0.238737855,0.294404172,0.236255547,0.049151364,0.047787812,0.048037985,0.496318019,0.767309951,0.686012371,
p22_straight_main_026,0.193743478,0.409786157,0.207138261,0.233215653,0.232135907,0.207416054,0.048937109,0.047692495,0.047624094,0.431959523,0.702260527,0.621170226,
p22_straight_main_027,0.19917373,0.36985052,0.165142871,0.244302373,0.211343342,0.222870696,0.048431478,0.047696482,0.04762268,0.428302847,0.663541968,0.592970231,
p22_straight_main_028,0.218711179,0.386327132,0.22713378,0.239688606,0.250019173,0.2293756,0.049094108,0.047761641,0.047631753,0.481013428,0.714560886,0.644496649,
p22_straight_main_029,0.158335185,0.355744615,0.180154434,0.245320517,0.170791931,0.195396728,0.04855119,0.047749251,0.047620771,0.412193915,0.576799556,0.527417864,
p22_straight_main_030,0.197948987,0.338506154,0.172723477,0.227194801,0.208875155,0.218546643,0.048571502,0.047689621,0.047621817,0.429675902,0.613062627,0.55804661,
p22_straight_post_001,0.240781397,0.444148408,0.252722857,0.247271386,0.264606619,0.270472238,0.049235911,0.047806448,0.047926074,0.496803559,0.833353261,0.73238835,
p22_straight_post_002,0.252380383,0.473946373,0.293375102,0.267311125,0.331249427,0.235326007,0.049057113,0.049414679,0.051540081,0.540524755,0.887348686,0.783301507,
p22_straight_post_003,0.257389767,0.474946569,0.318083382,0.27843626,0.319490737,0.24029761,0.048869534,0.048637719,0.051742497,0.565702879,0.894593231,0.795926126,
p22_straight_post_004,0.259946944,0.485541879,0.280948546,0.314830198,0.337585469,0.240771502,0.049727407,0.063394005,0.053290161,0.584467622,0.883059973,0.793482268,
p22_straight_post_005,0.254582792,0.473322486,0.282432799,0.270509437,0.317191175,0.207660895,0.049293168,0.055559109,0.048434947,0.590723835,0.789595984,0.729934339,
p22_straight_post_006,0.073192668,0.287441507,0.168080744,0.113725986,0.121722368,0.160269708,0.048859888,0.047838949,0.04761905,0.542918671,0.135491322,0.257719526,
p22_straight_post_007,0.175184821,0.384471373,0.209239712,0.289111966,0.240971994,0.206606619,0.048936455,0.047840952,0.047623107,0.500504248,0.672568156,0.620948983,
p22_straight_post_008,0.226312013,0.467377344,0.258349377,0.278536479,0.322198983,0.216457306,0.048737901,0.048349706,0.049077417,0.537235982,0.827931513,0.740722854,
p22_straight_post_009,0.248018411,0.485948804,0.302464105,0.303297363,0.315366161,0.248364147,0.048028701,0.04904104,0.049822764,0.601882036,0.87548078,0.793401157,
p22_straight_post_010,0.232407817,0.465171821,0.304224314,0.315696389,0.278871864,0.221649096,0.048430763,0.047691285,0.048355173,0.583091713,0.829954516,0.755895675,
p22_straight_pre_001,0.200857815,0.426339949,0.216624633,0.264728581,0.238663467,0.219962945,0.048691629,0.047743462,0.047629155,0.532972339,0.66649439,0.626437775,
p22_straight_pre_002,0.239348696,0.462545445,0.244488385,0.238509287,0.332713775,0.21351789,0.048683154,0.047828752,0.052237679,0.530520983,0.78828135,0.71095324,
p22_straight_pre_003,0.275965935,0.484963453,0.293701215,0.315616339,0.333350786,0.256215466,0.051252831,0.048142223,0.049456704,0.585733487,0.928600713,0.825740545,
p22_straight_pre_004,0.210958278,0.398052017,0.19070163,0.257690855,0.187249774,0.23052551,0.048522495,0.047699109,0.047652536,0.45319366,0.670670694,0.605427584,
p22_straight_pre_005,0.2518147,0.475261094,0.281759073,0.270127661,0.213555417,0.232716894,0.04826501,0.047688477,0.047650561,0.452531491,0.853231341,0.733021386,
p22_straight_pre_006,0.182177482,0.336120477,0.17089368,0.246120065,0.195580374,0.192701923,0.04841231,0.047723958,0.047621589,0.44022423,0.570622202,0.53150281,
p22_straight_pre_007,0.16362329,0.319356104,0.175224133,0.243333593,0.172396428,0.180796213,0.048354777,0.047732835,0.047620341,0.434919947,0.523412627,0.496864823,
p22_straight_pre_008,0.205095285,0.459828633,0.247777065,0.257698134,0.286621666,0.21953846,0.048673233,0.047850184,0.049070885,0.555305178,0.741311532,0.685509626,
p22_straight_pre_009,0.205968552,0.371551024,0.203658227,0.244230494,0.21652318,0.225950408,0.048444377,0.047710185,0.047622266,0.446057477,0.679913801,0.609756904,
p22_straight_pre_010,0.243047546,0.482081842,0.281654759,0.286287036,0.344350187,0.252858365,0.047875419,0.049205305,0.050287082,0.546295991,0.917629794,0.806229653,
AVG,0.21142408,0.414089305,0.223971343,0.249780124,0.254580046,0.220462607,0.048870153,0.049253652,0.048568747,0.482535806,0.721739248,0.649978215,
